yearID,teamID,W,L,R,AB,H,BB,SO,HR,ER,2B,3B,HBP,SF,IPouts,HA,BBA,SOA,E,1B,TB,AVG,PA,OBP,SLG,OPS,BB%,K%,ISO,IP,ERA,WHIP,K/9,BB/9,K/BB,WIN%,R/G,DER
2019,BAL,54,108,729,5596,1379,462,1435.0,213,897,252,25,71.0,37.0,4329,1544,561,1248,108,889,2320,0.24642601858470337,6166.0,0.31008757703535517,0.4145818441744103,0.7246694212097655,7.492701913720403,23.272786247161857,0.16815582558970693,1443.0,5.594594594594595,1.4587664587664588,7.783783783783784,3.498960498960499,2.2245989304812834,0.3333333333333333,4.5,0.6388958594730239
2019,BOS,84,78,901,5770,1554,590,1382.0,245,768,345,27,49.0,44.0,4413,1423,605,1633,88,937,2688,0.26932409012131714,6453.0,0.3398419339841934,0.4658578856152513,0.8056998195994447,9.143034247636757,21.41639547497288,0.19653379549393418,1471.0,4.698844323589395,1.3786539768864718,9.991162474507139,3.7015635622025833,2.6991735537190085,0.5185185185185185,5.561728395061729,0.6976355385717697
2019,CHA,72,89,708,5529,1443,378,1549.0,182,769,260,20,66.0,32.0,4238,1438,582,1312,117,981,2289,0.2609875203472599,6005.0,0.31423813488759367,0.4139989148128052,0.7282370497003989,6.294754371357203,25.795170691090757,0.1530113944655453,1412.6666666666667,4.899244926852289,1.4299197734780555,8.358659745162813,3.7078810759792353,2.254295532646048,0.4472049689440994,4.39751552795031,0.641514360313316
2019,CLE,93,69,769,5425,1354,563,1332.0,223,601,286,18,50.0,46.0,4313,1308,450,1508,83,827,2345,0.2495852534562212,6084.0,0.3233070348454964,0.432258064516129,0.7555650993616254,9.253780407626563,21.893491124260358,0.18267281105990782,1437.6666666666667,3.7623463946209132,1.2228147461163923,9.440296777185253,2.817064688152098,3.351111111111111,0.5740740740740741,4.746913580246914,0.7017364657814096
2019,DET,47,114,582,5549,1333,391,1595.0,149,835,292,41,48.0,42.0,4299,1555,536,1368,110,851,2154,0.24022346368715083,6030.0,0.29386401326699835,0.38817805009911693,0.6820420633661153,6.48424543946932,26.45107794361526,0.1479545864119661,1433.0,5.244242847173761,1.4591765526866713,8.591765526866713,3.366364270760642,2.5522388059701493,0.2919254658385093,3.6149068322981366,0.6059266961268521
2019,HOU,107,55,920,5613,1538,645,1166.0,288,595,323,28,66.0,57.0,4387,1205,448,1671,71,899,2781,0.27400676999821844,6381.0,0.3524525936373609,0.49545697487974344,0.8479095685171043,10.10813352139163,18.27299796270177,0.221450204881525,1462.3333333333333,3.661955778436289,1.1303852290859357,10.284248917255528,2.7572372919990884,3.7299107142857144,0.6604938271604939,5.679012345679013,0.7656546489563567
2019,KCA,59,103,691,5496,1356,456,1405.0,162,824,281,40,59.0,42.0,4275,1525,582,1230,73,873,2203,0.24672489082969432,6053.0,0.30910292416983315,0.40083697234352256,0.7099398965133557,7.533454485379151,23.21163059639848,0.15411208151382824,1425.0,5.20421052631579,1.4785964912280702,7.768421052631579,3.6757894736842105,2.11340206185567,0.36419753086419754,4.265432098765432,0.6383782422563586
2019,LAA,72,90,769,5542,1368,586,1276.0,220,820,268,21,67.0,42.0,4328,1417,576,1404,92,859,2338,0.2468422952002887,6237.0,0.32403399070065736,0.4218693612414291,0.7459033519420865,9.395542728876062,20.458553791887123,0.1750270660411404,1442.6666666666667,5.115526802218114,1.3814695009242144,8.758780036968576,3.5933456561922363,2.4375,0.4444444444444444,4.746913580246914,0.6846868884540118
2019,MIN,101,61,939,5732,1547,525,1334.0,307,680,318,23,81.0,41.0,4390,1456,452,1463,111,899,2832,0.2698883461270063,6379.0,0.33751371688352405,0.49406838799720865,0.8315821048807327,8.230130114438,20.912368709829128,0.22418004187020235,1463.3333333333333,4.182232346241458,1.3038724373576311,8.997949886104784,2.7799544419134397,3.2367256637168142,0.6234567901234568,5.796296296296297,0.6950629235237173
2019,NYA,103,59,943,5583,1493,569,1437.0,306,691,290,17,49.0,33.0,4329,1374,507,1534,102,880,2735,0.2674189503850976,6234.0,0.3386268848251524,0.4898799928353932,0.8285068776605455,9.127366057106192,23.051010587102983,0.22246104245029558,1443.0,4.3097713097713095,1.3035343035343034,9.567567567567568,3.1621621621621623,3.0256410256410255,0.6358024691358025,5.820987654320987,0.6979085979860573
