yearID,teamID,W,L,R,AB,H,BB,SO,HR,ER,2B,3B,HBP,SF,IPouts,HA,BBA,SOA,E,1B,TB,AVG,PA,OBP,SLG,OPS,BB%,K%,ISO,IP,ERA,WHIP,K/9,BB/9,K/BB,WIN%,R/G,DER,Playoffs
2019,PHI,81,81,774,5571,1369,562,1453.0,215,731,311,26,57.0,34.0,4361,1452,546,1392,97,817,2377,0.2457368515526835,6224.0,0.3194087403598972,0.4266738467061569,0.7460825870660541,9.029562982005142,23.34511568123393,0.1809369951534733,1453.6666666666667,4.525796835588167,1.374455400137583,8.618206833295115,3.380417335473515,2.5494505494505493,0.5,4.777777777777778,0.6611633223266447,False
2019,PIT,69,93,758,5657,1497,425,1213.0,163,829,315,38,63.0,34.0,4320,1511,584,1443,121,981,2377,0.2646278946438041,6179.0,0.3212493931056805,0.4201873784691532,0.7414367715748338,6.878135620650591,19.631008253762744,0.1555594838253491,1440.0,5.18125,1.4548611111111112,9.01875,3.65,2.470890410958904,0.4259259259259259,4.679012345679013,0.6595596755504056,False
2019,SDN,70,92,682,5391,1281,504,1581.0,219,732,224,24,55.0,31.0,4296,1394,463,1475,116,814,2210,0.2376182526432944,5981.0,0.3076408627319846,0.409942496753849,0.7175833594858336,8.42668450091958,26.433706738003675,0.1723242441105546,1432.0,4.600558659217877,1.296787709497207,9.270251396648044,2.9099162011173183,3.185745140388769,0.4320987654320987,4.209876543209877,0.6435670900055218,False
2019,SFN,77,85,678,5579,1332,475,1435.0,167,715,300,26,50.0,42.0,4407,1395,519,1368,90,839,2185,0.2387524645993905,6146.0,0.3021477383664172,0.3916472486108621,0.6937949869772793,7.728603970061829,23.34851936218679,0.1528947840114715,1469.0,4.380530973451328,1.302927161334241,8.381211708645337,3.179714091218516,2.6358381502890174,0.4753086419753086,4.185185185185185,0.6720577258024385,False
2019,SLN,91,71,764,5449,1336,561,1420.0,210,609,246,24,76.0,39.0,4332,1284,545,1399,66,856,2260,0.2451826023123509,6125.0,0.3221224489795918,0.4147550009175995,0.7368774498971914,9.159183673469387,23.18367346938776,0.1695723986052486,1444.0,3.795706371191136,1.2666204986149583,8.719529085872576,3.396814404432133,2.5669724770642204,0.5617283950617284,4.716049382716049,0.7045101088646968,True
2019,WAS,93,69,873,5512,1460,584,1308.0,231,683,298,27,81.0,42.0,4318,1340,517,1511,87,904,2505,0.2648766328011611,6219.0,0.3416948062389451,0.4544629898403483,0.7961577960792935,9.3905772632256,21.032320308731308,0.1895863570391872,1439.3333333333333,4.2707271885132005,1.290180639184808,9.44812413154238,3.2327466419638724,2.9226305609284333,0.5740740740740741,5.388888888888889,0.7021170610211707,True
2020,BAL,25,35,274,2026,523,164,514.0,77,260,102,7,27.0,10.0,1556,489,192,487,43,337,870,0.2581441263573544,2227.0,0.3206106870229007,0.4294175715695952,0.750028258592496,7.364167040862146,23.08037718904356,0.1712734452122408,518.6666666666666,4.5115681233933165,1.3129820051413883,8.450514138817482,3.3316195372750643,2.536458333333333,0.4166666666666667,4.566666666666666,0.685121107266436,False
2020,BOS,24,36,292,2083,552,187,545.0,81,325,118,7,21.0,9.0,1572,587,252,537,45,346,927,0.2650024003840615,2300.0,0.3304347826086956,0.4450312049927988,0.7754659876014944,8.130434782608695,23.695652173913043,0.1800288046087373,524.0,5.5820610687022905,1.6011450381679388,9.223282442748092,4.32824427480916,2.130952380952381,0.4,4.866666666666666,0.6241473396998636,False
2020,CHA,35,25,306,2047,534,179,571.0,96,223,94,6,24.0,13.0,1581,448,217,523,38,338,928,0.2608695652173913,2263.0,0.3256738842244808,0.4533463605276013,0.7790202447520822,7.909854175872735,25.231992929739285,0.19247679531021,527.0,3.8083491461100567,1.2618595825426946,8.93168880455408,3.7058823529411766,2.410138248847926,0.5833333333333334,5.1,0.7200287150035893,True
2020,CLE,35,25,248,1959,446,239,517.0,59,196,96,5,24.0,16.0,1608,440,157,621,30,286,729,0.2276671771311894,2238.0,0.3168007149240393,0.3721286370597244,0.6889293519837637,10.67917783735478,23.100983020554068,0.1444614599285349,536.0,3.291044776119403,1.1138059701492538,10.427238805970148,2.6361940298507465,3.955414012738853,0.5833333333333334,4.133333333333334,0.7062187276626162,True
2020,DET,23,35,249,1893,463,147,567.0,62,308,78,12,19.0,14.0,1477,511,192,444,27,311,751,0.2445853143159007,2073.0,0.3034249879401833,0.3967247754886424,0.7001497634288256,7.091172214182344,27.35166425470333,0.1521394611727416,492.3333333333333,5.630331753554502,1.4278943805010156,8.116452268111036,3.509817197020989,2.3125,0.396551724137931,4.293103448275862,0.6275430359937402,False
2020,HOU,29,31,279,1992,478,192,440.0,69,251,103,12,23.0,13.0,1572,472,217,526,20,294,812,0.2399598393574297,2220.0,0.3121621621621621,0.4076305220883534,0.7197926842505156,8.64864864864865,19.81981981981982,0.1676706827309237,524.0,4.311068702290076,1.3148854961832062,9.034351145038167,3.727099236641221,2.423963133640553,0.4833333333333333,4.65,0.7172459893048129,False
2020,KCA,26,34,248,1988,485,172,527.0,68,247,97,7,18.0,10.0,1551,500,211,517,31,313,800,0.243963782696177,2188.0,0.3085009140767824,0.4024144869215292,0.7109154009983116,7.861060329067642,24.085923217550278,0.1584507042253521,517.0,4.299806576402321,1.3752417794970986,9.0,3.6731141199226314,2.4502369668246446,0.4333333333333333,4.133333333333334,0.6699928724162509,False
2020,LAA,26,34,294,2020,501,239,490.0,85,297,97,8,25.0,18.0,1576,492,199,523,36,311,869,0.248019801980198,2302.0,0.3323197219808861,0.4301980198019802,0.7625177417828664,10.382276281494352,21.28583840139009,0.1821782178217821,525.3333333333334,5.088197969543147,1.3153553299492384,8.96002538071066,3.409263959390863,2.628140703517588,0.4333333333333333,4.9,0.6971975393028025,False
2020,MIN,36,24,269,1937,468,186,528.0,91,204,81,3,29.0,14.0,1540,448,170,535,20,293,828,0.2416107382550335,2166.0,0.3153277931671283,0.427465152297367,0.7427929454644954,8.587257617728532,24.37673130193906,0.1858544140423334,513.3333333333334,3.576623376623376,1.2038961038961038,9.37987012987013,2.9805194805194803,3.147058823529412,0.6,4.483333333333333,0.7169669669669669,True
2020,NYA,33,27,315,1915,473,251,480.0,94,242,87,7,30.0,11.0,1502,455,168,528,48,285,856,0.2469973890339425,2207.0,0.3416402356139556,0.4469973890339425,0.7886376246478981,11.37290439510648,21.74898051653829,0.1999999999999999,500.6666666666667,4.350199733688415,1.244340878828229,9.491344873501998,3.0199733688415447,3.142857142857143,0.55,5.25,0.6974852071005917,False
2020,OAK,36,24,274,1908,430,238,524.0,71,216,91,11,39.0,14.0,1546,471,165,506,26,257,756,0.2253668763102725,2199.0,0.3215097771714416,0.3962264150943396,0.7177361922657812,10.823101409731697,23.82901318781264,0.1708595387840671,515.3333333333334,3.7723156532988353,1.2341526520051749,8.836998706338939,2.8816300129366104,3.066666666666667,0.6,4.566666666666666,0.678975131876413,True
2020,SEA,27,33,254,1929,435,207,545.0,60,289,88,5,30.0,12.0,1550,482,230,469,23,282,713,0.2255054432348367,2178.0,0.3085399449035813,0.3696215655780197,0.678161510481601,9.50413223140496,25.02295684113866,0.1441161223431829,516.6666666666666,5.034193548387097,1.3780645161290324,8.169677419354839,4.006451612903226,2.0391304347826087,0.45,4.233333333333333,0.6669161676646707,False
2020,TBA,40,20,289,1975,470,243,608.0,80,209,105,12,28.0,14.0,1583,475,168,552,33,273,839,0.2379746835443038,2260.0,0.3278761061946902,0.4248101265822784,0.7526862327769688,10.75221238938053,26.90265486725664,0.1868354430379746,527.6666666666666,3.564750473783955,1.2185723310170564,9.415034744156666,2.865445356917246,3.2857142857142856,0.6666666666666666,4.816666666666666,0.671022290545734,True
2020,TEX,22,38,224,1936,420,167,548.0,62,288,80,9,24.0,18.0,1550,479,236,489,40,269,704,0.2169421487603305,2145.0,0.2848484848484848,0.3636363636363636,0.6484848484848484,7.785547785547786,25.547785547785544,0.146694214876033,516.6666666666666,5.016774193548388,1.3838709677419356,8.518064516129034,4.110967741935484,2.0720338983050848,0.3666666666666666,3.733333333333333,0.6599702380952381,False
2020,TOR,32,28,302,2023,516,203,508.0,88,268,104,4,12.0,14.0,1574,517,250,519,38,320,892,0.2550667325753831,2252.0,0.3246003552397868,0.4409293129016312,0.7655296681414181,9.014209591474245,22.55772646536412,0.1858625803262481,524.6666666666666,4.59720457433291,1.4618805590851336,8.90279542566709,4.288437102922491,2.076,0.5333333333333333,5.033333333333333,0.6759195003469813,False
2020,ARI,25,35,269,1997,482,181,461.0,58,279,101,12,36.0,23.0,1555,506,235,524,35,311,781,0.2413620430645968,2237.0,0.3124720607957085,0.3910866299449174,0.7035586907406259,8.09119356280733,20.607957085382207,0.1497245868803205,518.3333333333334,4.844372990353698,1.4295819935691316,9.0983922829582,4.080385852090032,2.2297872340425533,0.4166666666666667,4.483333333333333,0.6782145236508994,False
2020,ATL,35,25,348,2074,556,239,573.0,103,257,130,3,23.0,7.0,1573,494,220,506,33,320,1001,0.2680810028929604,2343.0,0.3491250533504054,0.4826422372227579,0.8317672905731635,10.200597524541188,24.45582586427657,0.2145612343297975,524.3333333333334,4.411315956770502,1.361729179910998,8.685314685314685,3.776223776223776,2.3,0.5833333333333334,5.8,0.698220640569395,True
